Employee ID: 401, Full Name: Manila bay, Basic Salary: 30000.00, Honorarium: 6000.00, Overload HR: 24.00, Overload Rate: , Overload Total: , WR HR: , WR Rate: , WR Total: , Adjust HR: , Adjust Rate: , Adjust Total: , Watch HR: , Watch Rate: , Watch Total: , Gross Pay: , Absent Late HR: , Absent Late Rate: , Absent Late Total: , Pagibig: , MP2: , Canteen: , Others: , Total Deduction: , Net Pay: 
Employee ID: 402, Full Name: Willie Pacquiao, Basic Salary: 50000.00, Honorarium: 10000.00, Overload HR: 0.00, Overload Rate: , Overload Total: , WR HR: , WR Rate: , WR Total: , Adjust HR: , Adjust Rate: , Adjust Total: , Watch HR: , Watch Rate: , Watch Total: , Gross Pay: , Absent Late HR: , Absent Late Rate: , Absent Late Total: , Pagibig: , MP2: , Canteen: , Others: , Total Deduction: , Net Pay: 
Employee ID: 403, Full Name: genisis mantilla, Basic Salary: 100000.00, Honorarium: 10000.00, Overload HR: 53.00, Overload Rate: , Overload Total: , WR HR: , WR Rate: , WR Total: , Adjust HR: , Adjust Rate: , Adjust Total: , Watch HR: , Watch Rate: , Watch Total: , Gross Pay: , Absent Late HR: , Absent Late Rate: , Absent Late Total: , Pagibig: , MP2: , Canteen: , Others: , Total Deduction: , Net Pay: 
Employee ID: 404, Full Name: John Joseph, Basic Salary: 35000.00, Honorarium: 7000.00, Overload HR: 0.00, Overload Rate: , Overload Total: , WR HR: , WR Rate: , WR Total: , Adjust HR: , Adjust Rate: , Adjust Total: , Watch HR: , Watch Rate: , Watch Total: , Gross Pay: , Absent Late HR: , Absent Late Rate: , Absent Late Total: , Pagibig: , MP2: , Canteen: , Others: , Total Deduction: , Net Pay: 
Employee ID: 401, Full Name: Manila bay, Basic Salary: 30000.00, Honorarium: 6000.00, Overload HR: 24.00, Overload Rate: , Overload Total: , WR HR: , WR Rate: , WR Total: , Adjust HR: , Adjust Rate: , Adjust Total: , Watch HR: , Watch Rate: , Watch Total: , Gross Pay: , Absent Late HR: , Absent Late Rate: , Absent Late Total: , Pagibig: , MP2: , Canteen: , Others: , Total Deduction: , Net Pay: 
Employee ID: 402, Full Name: Willie Pacquiao, Basic Salary: 50000.00, Honorarium: 10000.00, Overload HR: 0.00, Overload Rate: , Overload Total: , WR HR: , WR Rate: , WR Total: , Adjust HR: , Adjust Rate: , Adjust Total: , Watch HR: , Watch Rate: , Watch Total: , Gross Pay: , Absent Late HR: , Absent Late Rate: , Absent Late Total: , Pagibig: , MP2: , Canteen: , Others: , Total Deduction: , Net Pay: 
Employee ID: 403, Full Name: genisis mantilla, Basic Salary: 100000.00, Honorarium: 10000.00, Overload HR: 53.00, Overload Rate: , Overload Total: , WR HR: , WR Rate: , WR Total: , Adjust HR: , Adjust Rate: , Adjust Total: , Watch HR: , Watch Rate: , Watch Total: , Gross Pay: , Absent Late HR: , Absent Late Rate: , Absent Late Total: , Pagibig: , MP2: , Canteen: , Others: , Total Deduction: , Net Pay: 
Employee ID: 404, Full Name: John Joseph, Basic Salary: 35000.00, Honorarium: 7000.00, Overload HR: 0.00, Overload Rate: , Overload Total: , WR HR: , WR Rate: , WR Total: , Adjust HR: , Adjust Rate: , Adjust Total: , Watch HR: , Watch Rate: , Watch Total: , Gross Pay: , Absent Late HR: , Absent Late Rate: , Absent Late Total: , Pagibig: , MP2: , Canteen: , Others: , Total Deduction: , Net Pay: 
Employee ID: 401, Full Name: Manila bay, Basic Salary: 30000, Honorarium: 6000, Overload HR: 24, Overload Rate: 0, Overload Total: 0, WR HR: 0, WR Rate: 0, WR Total: 0, Adjust HR: 0, Adjust Rate: 0, Adjust Total: 0, Watch HR: 0, Watch Rate: 0, Watch Total: 0, Gross Pay: 0, Absent Late HR: 0, Absent Late Rate: 0, Absent Late Total: 0, Pagibig: 0, MP2: 0, Canteen: 0, Others: 0, Total Deduction: 0, Net Pay: 0
Employee ID: 402, Full Name: Willie Pacquiao, Basic Salary: 50000, Honorarium: 10000, Overload HR: 0, Overload Rate: 0, Overload Total: 0, WR HR: 0, WR Rate: 0, WR Total: 0, Adjust HR: 0, Adjust Rate: 0, Adjust Total: 0, Watch HR: 0, Watch Rate: 0, Watch Total: 0, Gross Pay: 0, Absent Late HR: 0, Absent Late Rate: 0, Absent Late Total: 0, Pagibig: 0, MP2: 0, Canteen: 0, Others: 0, Total Deduction: 0, Net Pay: 0
Employee ID: 403, Full Name: genisis mantilla, Basic Salary: 100000, Honorarium: 10000, Overload HR: 53, Overload Rate: 0, Overload Total: 0, WR HR: 0, WR Rate: 0, WR Total: 0, Adjust HR: 0, Adjust Rate: 0, Adjust Total: 0, Watch HR: 0, Watch Rate: 0, Watch Total: 0, Gross Pay: 0, Absent Late HR: 0, Absent Late Rate: 0, Absent Late Total: 0, Pagibig: 0, MP2: 0, Canteen: 0, Others: 0, Total Deduction: 0, Net Pay: 0
